customer_key,customer_name,age,age_group,customer_segment,total_sales,total_orders,total_quantity,total_products,last_order,recency,lifespan,avg_order_value,avg_monthly_sales
85,Alyssa Cox,48,36-49,New,3137,2,5,5,2013-11-08,142,10,1568,313
86,Lucas Phillips,62,50-64,New,3078,2,5,5,2013-11-21,142,10,1539,307
87,Emily Johnson,62,50-64,New,129,2,5,5,2014-01-08,140,1,64,129
88,Ryan Brown,62,50-64,New,153,2,6,6,2013-12-21,141,5,76,30
89,Tamara Liang,62,50-64,New,200,2,4,4,2013-08-09,145,6,100,33
90,Hunter Davis,62,50-64,New,3176,2,7,7,2013-11-12,142,10,1588,317
91,Abigail Price,63,50-64,New,3188,2,7,7,2013-11-18,142,11,1594,289
92,Trevor Bryant,57,50-64,VIP,6703,3,6,6,2013-11-21,142,27,2234,248
93,Dalton Perez,63,50-64,Regular,1186,28,59,25,2014-01-08,140,12,42,98
94,Cheryl Diaz,53,50-64,VIP,8110,3,5,5,2013-06-21,147,26,2703,311
95,Aimee He,47,36-49,VIP,8180,3,7,7,2013-06-08,147,26,2726,314
96,Cedric Ma,58,50-64,New,236,3,8,8,2014-01-11,140,9,78,26
97,Chad Kumar,57,50-64,VIP,8158,3,7,7,2013-06-25,147,26,2719,313
98,Andrés Anand,57,50-64,VIP,8063,3,4,4,2013-07-30,146,27,2687,298
99,Edwin Nara,53,50-64,VIP,8099,3,5,5,2013-07-24,146,27,2699,299
100,Mallory Rubio,59,50-64,New,89,3,4,4,2013-10-16,143,8,29,11
101,Adam Ross,59,50-64,VIP,8216,3,9,8,2013-07-01,146,27,2738,304
102,Latasha Navarro,59,50-64,VIP,8172,3,7,7,2013-08-07,145,28,2724,291
103,Abby Sai,55,50-64,VIP,8262,3,7,7,2013-06-29,147,26,2754,317
104,Julia Nelson,55,50-64,New,103,3,5,5,2013-12-09,141,5,34,20
105,Cassie Chande,44,36-49,VIP,8182,3,8,8,2013-06-06,147,26,2727,314
106,Edgar Sara,50,50-64,VIP,8173,3,6,6,2013-06-15,147,25,2724,326
107,Candace Fernandez,55,50-64,VIP,8096,3,5,5,2013-06-05,147,25,2698,323
108,Jessie Liu,55,50-64,VIP,8079,3,3,3,2013-06-15,147,25,2693,323
109,Bianca Lin,49,36-49,VIP,8171,3,6,6,2013-06-21,147,25,2723,326
110,Kari Alvarez,56,50-64,VIP,8124,3,5,5,2013-06-23,147,25,2708,324
111,Ruben Kapoor,45,36-49,VIP,8245,3,8,8,2013-06-24,147,25,2748,329
112,Curtis Yang,58,50-64,VIP,8093,3,5,5,2013-08-20,145,27,2697,299
113,Meredith Gutierrez,58,50-64,VIP,8137,3,8,8,2013-08-22,145,27,2712,301
114,Crystal Wang,57,50-64,VIP,8295,3,6,6,2013-09-02,144,28,2765,296
115,Micheal Blanco,52,50-64,New,110,3,7,7,2013-04-21,149,2,36,55
116,Leslie Moreno,58,50-64,New,123,3,7,6,2013-12-26,141,9,41,13
117,Alvin Cai,58,50-64,New,114,3,6,6,2014-01-02,140,11,38,10
118,Clinton Carlson,46,36-49,New,149,3,7,7,2013-10-16,143,7,49,21
119,April Deng,59,50-64,VIP,8185,3,8,8,2013-06-25,147,25,2728,327
120,Alvin Zeng,63,50-64,New,124,3,8,6,2014-01-26,140,6,41,20
121,Evan James,85,65 and Above,New,85,2,4,4,2013-11-23,142,9,42,9
122,Beth Jiménez,83,65 and Above,VIP,8242,3,10,10,2013-09-19,144,28,2747,294
123,Orlando Suarez,59,50-64,New,58,3,6,5,2013-11-04,142,5,19,11
124,Byron Vazquez,60,50-64,New,43,3,3,3,2013-08-22,145,6,14,7
125,Philip Alvarez,60,50-64,New,150,3,8,7,2014-01-25,140,9,50,16
126,Ross Jordan,57,50-64,VIP,8129,3,6,6,2013-06-18,147,25,2709,325
127,Dana Navarro,64,50-64,New,79,3,7,7,2013-07-03,146,6,26,13
128,Shaun Carson,71,65 and Above,Regular,4971,3,8,7,2013-11-03,142,30,1657,165
129,Jan Edwards,44,36-49,New,44,2,3,3,2013-10-01,143,6,22,7
130,Samantha Long,44,36-49,New,144,2,7,7,2013-08-12,145,2,72,72
131,Julia Wright,44,36-49,VIP,5873,2,2,2,2013-01-09,152,17,2936,345
132,Caroline Russell,40,36-49,New,37,1,2,2,2013-12-09,141,0,37,37
133,Amanda Rivera,40,36-49,New,166,5,9,9,2014-01-23,140,3,33,55
134,Melissa Richardson,39,36-49,New,2372,1,6,6,2013-04-09,149,0,2372,2372
135,Angela Griffin,39,36-49,New,72,1,4,4,2013-12-30,141,0,72,72
136,Larry Townsend,68,65 and Above,Regular,4911,3,3,3,2013-11-03,142,30,1637,163
137,Marcus Harris,40,36-49,New,2335,1,3,3,2013-04-18,149,0,2335,2335
138,Brianna Morgan,41,36-49,New,2381,1,3,3,2013-01-03,152,0,2381,2381
139,Jasmine Taylor,41,36-49,New,202,2,5,4,2014-01-20,140,6,101,33
140,Lauren Davis,41,36-49,New,79,2,4,4,2013-12-31,141,3,39,26
141,Tanya Moreno,76,65 and Above,New,84,2,3,3,2013-10-17,143,1,42,84
142,Javier Alvarez,43,36-49,New,40,1,2,2,2013-03-19,150,0,40,40
143,Nicole Ramirez,43,36-49,New,114,2,5,5,2013-09-28,144,4,57,28
144,Eduardo Patterson,42,36-49,New,979,17,36,23,2014-01-13,140,11,57,89
145,Jonathan Henderson,43,36-49,New,48,2,5,4,2013-12-19,141,6,24,8
146,Edward Hernandez,40,36-49,New,2400,1,3,3,2013-01-25,152,0,2400,2400
147,Jasmine Coleman,40,36-49,New,2310,1,3,3,2013-01-25,152,0,2310,2310
148,Karla Goel,80,65 and Above,New,113,3,7,6,2013-09-15,144,7,37,16
149,Ernest Wu,81,65 and Above,VIP,8195,3,7,7,2013-10-16,143,29,2731,282
150,Ross Vazquez,78,65 and Above,New,126,3,6,5,2013-12-03,141,9,42,14
151,Theodore Gill,79,65 and Above,New,41,3,4,4,2013-11-29,142,5,13,8
152,Russell Shen,79,65 and Above,New,192,3,8,7,2013-07-15,146,4,64,48
153,Melinda Gill,78,65 and Above,VIP,8087,3,6,6,2013-10-20,143,29,2695,278
154,James Williams,44,36-49,New,2295,1,1,1,2013-01-09,152,0,2295,2295
155,Angela James,44,36-49,New,110,2,5,5,2013-03-29,150,0,55,110
156,Megan Walker,43,36-49,New,2320,1,1,1,2013-01-10,152,0,2320,2320
157,Hunter Robinson,44,36-49,New,2320,1,1,1,2013-01-06,152,0,2320,2320
158,Maria Roberts,44,36-49,New,2390,1,4,4,2013-01-08,152,0,2390,2390
159,Hannah Long,45,36-49,New,41,2,3,3,2013-09-11,144,2,20,20
160,Jason Wright,44,36-49,New,2396,1,3,3,2013-01-19,152,0,2396,2396
161,Brianna Hughes,44,36-49,New,48,2,5,4,2013-11-07,142,2,24,24
162,Maurice Tang,46,36-49,New,2322,1,2,2,2013-02-21,151,0,2322,2322
163,Emily Wood,46,36-49,New,94,2,6,6,2013-11-11,142,5,47,18
164,Chase Cox,46,36-49,New,2330,1,2,2,2013-02-18,151,0,2330,2330
165,Gabriel Wang,45,36-49,New,46,2,4,4,2013-08-05,145,3,23,15
166,Devin Brooks,46,36-49,New,145,2,6,6,2013-08-05,145,4,72,36
167,Jocelyn Alexander,46,36-49,New,103,2,3,3,2013-06-05,147,1,51,103
168,Ashley Martinez,48,36-49,New,88,2,5,5,2013-12-06,141,2,44,44
169,Jasmine Barnes,47,36-49,New,3126,2,4,4,2013-11-28,142,10,1563,312
170,David Rodriguez,52,50-64,New,3136,2,7,7,2013-11-16,142,10,1568,313
171,Bryce Richardson,52,50-64,New,81,2,5,5,2013-09-24,144,4,40,20
172,Carol Howard,52,50-64,New,157,2,7,7,2013-12-29,141,4,78,39
173,Jonathan Hill,47,36-49,VIP,6716,3,8,8,2013-11-07,142,27,2238,248
174,Gabrielle Adams,52,50-64,New,129,2,7,6,2014-01-11,140,8,64,16
175,Sarah Thomas,52,50-64,New,103,2,3,3,2013-12-24,141,9,51,11
176,Nicholas Robinson,52,50-64,New,48,2,5,4,2013-07-25,146,0,24,48
177,Luis Wang,57,50-64,VIP,6710,3,8,8,2013-11-03,142,27,2236,248
178,Mason Roberts,46,36-49,New,1317,28,60,27,2014-01-27,140,11,47,119
179,Jose Flores,77,65 and Above,New,135,2,6,6,2013-10-14,143,7,67,19
180,Nathan Johnson,71,65 and Above,New,145,2,6,6,2013-05-26,148,3,72,48
181,Molly Rodriguez,66,65 and Above,New,125,2,6,6,2014-01-09,140,10,62,12
182,April Anand,77,65 and Above,New,138,2,6,6,2013-09-25,144,6,69,23
183,Devin Martin,65,65 and Above,New,41,2,3,3,2013-07-11,146,2,20,20
184,Stephanie Torres,75,65 and Above,New,81,2,5,5,2014-01-05,140,5,40,16
185,Jasmine Lee,75,65 and Above,New,46,2,4,4,2013-06-13,147,2,23,23
186,Meghan Hernandez,70,65 and Above,New,68,2,5,5,2013-10-09,143,2,34,34
187,Ashley Henderson,75,65 and Above,New,1616,27,68,29,2014-01-26,140,11,59,146
188,Sarah Price,76,65 and Above,New,41,2,3,3,2014-01-07,140,3,20,13
189,Jennifer Cooper,76,65 and Above,New,108,2,4,4,2013-08-06,145,4,54,27
190,Catherine Morris,75,65 and Above,New,81,2,5,5,2014-01-21,140,2,40,40
191,Lawrence Blanco,75,65 and Above,VIP,5944,2,6,6,2013-02-05,151,18,2972,330
192,Carson Bryant,76,65 and Above,New,46,2,4,4,2014-01-16,140,5,23,9
193,Kristi Perez,74,65 and Above,VIP,6743,3,7,7,2013-11-06,142,27,2247,249
194,James Brown,74,65 and Above,New,114,2,5,5,2013-09-25,144,3,57,38
195,Ian Gray,75,65 and Above,New,41,2,3,3,2013-08-18,145,6,20,6
196,Jacqueline Price,75,65 and Above,New,105,2,6,6,2013-12-08,141,9,52,11
197,Megan Henderson,74,65 and Above,New,105,2,6,6,2013-10-22,143,6,52,17
198,Alfredo Romero,74,65 and Above,New,162,2,4,4,2013-09-24,144,6,81,27
199,Andrea Morris,74,65 and Above,New,207,2,6,5,2013-07-20,146,2,103,103
200,Brooke Sanders,73,65 and Above,New,98,2,4,4,2013-02-13,151,0,49,98
201,Jacqueline Bennett,68,65 and Above,New,132,2,6,6,2013-10-17,143,7,66,18
202,Jason Griffin,72,65 and Above,New,1461,27,55,26,2014-01-20,140,11,54,132
203,Amanda Foster,72,65 and Above,New,181,2,6,6,2013-09-09,144,2,90,90
204,Alexia Price,67,65 and Above,New,74,2,3,3,2013-09-21,144,0,37,74
205,Luis Diaz,66,65 and Above,New,800,17,32,19,2013-12-11,141,10,47,80
206,Destiny Rivera,72,65 and Above,New,77,2,4,4,2013-11-10,142,3,38,25
207,Abby Fernandez,71,65 and Above,New,37,2,2,2,2013-10-08,143,3,18,12
208,Blake Flores,71,65 and Above,New,77,2,4,4,2013-05-30,148,0,38,77
209,Danielle Cox,71,65 and Above,New,77,2,4,4,2013-10-18,143,9,38,8
210,Maria Reed,72,65 and Above,New,134,2,7,7,2013-09-17,144,6,67,22
211,Allison Evans,72,65 and Above,New,37,2,2,2,2014-01-22,140,10,18,3
212,Edward Wood,72,65 and Above,New,70,2,5,5,2013-09-06,144,4,35,17
213,Samantha Russell,65,65 and Above,New,792,17,33,22,2014-01-07,140,11,46,72
214,Chloe Campbell,70,65 and Above,Regular,824,17,33,20,2014-01-17,140,12,48,68
215,Stephanie Murphy,71,65 and Above,New,77,2,4,4,2013-09-09,144,6,38,12
216,Charles Miller,70,65 and Above,New,162,2,4,4,2013-11-19,142,3,81,54
217,Ana Perry,64,50-64,New,1154,17,32,21,2013-12-15,141,10,67,115
218,Jasmine Torres,70,65 and Above,VIP,5948,2,5,5,2013-02-05,151,18,2974,330
219,Natalie Adams,70,65 and Above,VIP,5953,2,3,3,2013-02-14,151,18,2976,330
220,Olivia Brown,64,50-64,New,39,2,3,2,2014-01-04,140,11,19,3
221,Charles Cook,69,65 and Above,New,39,2,3,2,2014-01-24,140,3,19,13
222,Erica Huang,64,50-64,New,50,2,4,4,2013-12-13,141,9,25,5
223,Nathan Perry,70,65 and Above,New,46,2,4,4,2013-10-17,143,6,23,7
224,Alexandra Rivera,69,65 and Above,New,208,2,6,6,2013-11-28,142,0,104,208
225,Hailey Patterson,68,65 and Above,Regular,1293,27,56,26,2014-01-06,140,12,47,107
226,Tiffany Li,68,65 and Above,VIP,6685,3,5,5,2013-12-03,141,28,2228,238
227,Madison Lee,63,50-64,New,73,2,5,5,2013-09-06,144,3,36,24
228,Sydney Ross,63,50-64,New,37,2,2,2,2013-03-31,150,1,18,37
229,Marshall Chavez,63,50-64,VIP,5910,2,5,5,2013-02-10,151,18,2955,328
230,Ashley Jones,69,65 and Above,New,77,2,4,4,2014-01-17,140,3,38,25
231,Adrian Stewart,68,65 and Above,New,81,2,5,5,2014-01-25,140,6,40,13
232,Amber Turner,69,65 and Above,New,54,2,5,5,2013-12-09,141,5,27,10
233,Dennis Zhang,62,50-64,New,64,2,4,4,2013-11-12,142,9,32,7
234,Hailey Bryant,67,65 and Above,New,39,2,3,2,2013-11-13,142,2,19,19
235,Todd Li,62,50-64,New,179,2,7,7,2013-06-08,147,4,89,44
236,Anna Griffin,67,65 and Above,New,76,2,4,4,2013-09-19,144,7,38,10
237,Angel Stewart,68,65 and Above,New,138,2,6,5,2014-01-05,140,6,69,23
238,Jeremy Butler,68,65 and Above,New,114,2,5,5,2014-01-06,140,3,57,38
239,Clarence Anand,61,50-64,VIP,10566,4,6,6,2013-11-25,142,26,2641,406
240,Mayra Prasad,61,50-64,VIP,7543,4,9,9,2013-04-30,149,27,1885,279
241,Latoya Goel,56,50-64,VIP,7511,4,11,11,2013-05-28,148,28,1877,268
242,Anne Hernandez,61,50-64,VIP,7586,4,13,10,2013-05-13,148,27,1896,280
243,Lisa Cai,51,50-64,VIP,11468,7,25,20,2013-10-29,143,13,1638,882
244,Larry Munoz,62,50-64,VIP,11067,7,12,12,2013-12-04,141,15,1581,737
245,Robin Alvarez,62,50-64,VIP,7164,4,12,10,2013-06-09,147,28,1791,255
246,Alexis Coleman,57,50-64,VIP,7175,4,12,11,2013-07-19,146,29,1793,247
247,Ricky Vazquez,63,50-64,VIP,10580,4,9,9,2013-12-11,141,27,2645,391
248,Latasha Rubio,63,50-64,VIP,10575,4,7,7,2013-12-20,141,26,2643,406
249,Claudia Zhou,64,50-64,VIP,7131,4,12,11,2013-08-17,145,30,1782,237
250,Tristan Alexander,59,50-64,New,38,1,3,3,2013-07-14,146,0,38,38
251,Cindy Patel,59,50-64,VIP,9890,4,11,11,2013-09-15,144,23,2472,430
252,Shannon Liu,59,50-64,VIP,7115,4,11,10,2013-08-06,145,29,1778,245
253,Xavier Long,87,65 and Above,New,2319,1,4,4,2013-10-18,143,0,2319,2319
254,Nicholas Thompson,88,65 and Above,VIP,6685,3,7,7,2013-12-18,141,28,2228,238
255,José Hernandez,76,65 and Above,New,695,16,30,16,2013-12-03,141,9,43,77
256,Johnathan Vance,87,65 and Above,New,204,2,9,9,2013-12-14,141,1,102,204
257,Colin Lin,87,65 and Above,New,114,2,5,5,2013-03-31,150,1,57,114
258,Katelyn Hernandez,86,65 and Above,New,81,2,5,5,2013-10-16,143,6,40,13
259,Jacqueline Powell,NULL,65 and Above,VIP,6676,3,6,6,2013-12-14,141,28,2225,238
260,Xavier Hill,87,65 and Above,New,49,2,4,4,2013-07-15,146,2,24,24
261,Victoria Stewart,55,50-64,VIP,6770,3,5,5,2013-12-20,141,27,2256,250
262,Katelyn Kelly,49,36-49,New,81,2,5,5,2013-06-23,147,4,40,20
263,Stephanie Collins,55,50-64,VIP,6650,3,4,4,2013-12-23,141,27,2216,246
264,Jennifer Simmons,50,50-64,New,1124,27,63,26,2014-01-22,140,11,41,102
265,Trinity Richardson,55,50-64,VIP,6753,3,9,9,2013-12-10,141,28,2251,241
266,Eduardo Martin,56,50-64,New,3182,2,8,8,2013-11-30,142,10,1591,318
267,Elizabeth Jones,55,50-64,New,2352,1,3,3,2013-01-03,152,0,2352,2352
268,Taylor Howard,56,50-64,VIP,5922,2,5,5,2013-01-20,152,16,2961,370
269,David Diaz,50,50-64,VIP,5943,2,5,5,2013-01-07,152,16,2971,371
270,Katelyn Carter,56,50-64,New,98,2,5,5,2013-11-16,142,6,49,16
271,Ryan Foster,50,50-64,New,42,2,3,3,2013-09-10,144,1,21,42
272,Robert Lee,50,50-64,VIP,5984,2,5,5,2013-01-07,152,16,2992,374
273,Danielle Reed,56,50-64,VIP,5973,2,5,5,2013-01-22,152,16,2986,373
274,Lauren Martinez,63,50-64,VIP,5975,2,4,4,2013-01-13,152,16,2987,373
275,Nathan Lal,63,50-64,New,273,2,8,8,2013-05-23,148,0,136,273
276,Kyle Foster,86,65 and Above,VIP,5888,2,4,4,2013-02-24,151,18,2944,327
277,Jenny Rai,86,65 and Above,VIP,5955,2,4,4,2013-01-12,152,17,2977,350
278,Nancy Chapman,51,50-64,Regular,987,27,57,22,2014-01-22,140,12,36,82
279,Charles Jackson,57,50-64,New,1434,27,65,26,2014-01-16,140,11,53,130
280,Jonathan Phillips,56,50-64,VIP,5908,2,3,3,2013-01-03,152,16,2954,369
281,Amanda Cook,51,50-64,New,44,2,4,3,2013-06-22,147,3,22,14
282,Robert Collins,56,50-64,New,77,2,4,4,2013-08-08,145,1,38,77
283,Megan Barnes,51,50-64,VIP,5921,2,5,5,2013-01-11,152,16,2960,370
284,Christian Thomas,58,50-64,VIP,5999,2,6,6,2013-01-02,152,17,2999,352
285,Arturo Lal,57,50-64,New,44,2,4,3,2013-08-28,145,3,22,14
286,Theresa Serrano,58,50-64,New,55,2,5,3,2013-05-02,148,3,27,18
287,Jeremy Anderson,52,50-64,New,128,2,5,5,2013-10-26,143,3,64,42
288,Hunter Griffin,58,50-64,VIP,5954,2,5,5,2013-01-20,152,16,2977,372
289,Henry Garcia,59,50-64,Regular,1165,27,62,23,2014-01-28,140,12,43,97
290,Cindy Sanchez,47,36-49,New,77,2,4,4,2013-08-21,145,5,38,15
291,Maria Carter,53,50-64,VIP,5905,2,5,5,2013-01-16,152,16,2952,369
292,Katelyn Sanchez,53,50-64,VIP,5933,2,3,3,2013-01-27,152,16,2966,370
293,Jenna Wright,53,50-64,VIP,5873,2,2,2,2013-01-19,152,16,2936,367
294,Seth Phillips,58,50-64,VIP,5910,2,5,5,2012-12-31,153,15,2955,394
295,Luke Long,65,65 and Above,New,85,2,5,5,2013-03-15,150,1,42,85
296,Dalton Clark,64,50-64,New,42,2,3,3,2014-01-03,140,4,21,10
297,Taylor Lewis,66,65 and Above,VIP,6058,2,5,5,2013-01-09,152,16,3029,378
298,Haley Richardson,84,65 and Above,VIP,5897,2,4,4,2013-01-29,152,16,2948,368
299,Noah Coleman,85,65 and Above,VIP,5948,2,5,5,2013-02-20,151,17,2974,349
300,Jon Luo,85,65 and Above,VIP,5922,2,5,5,2013-02-21,151,17,2961,348
301,Orlando Vazquez,84,65 and Above,VIP,6015,2,4,4,2013-02-24,151,17,3007,353
302,Fernando Barnes,60,50-64,New,1499,27,67,28,2013-12-31,141,11,55,136
303,Cameron Rodriguez,60,50-64,New,131,2,5,5,2013-10-11,143,4,65,32
304,Spencer Russell,54,50-64,VIP,5938,2,5,5,2013-02-02,151,17,2969,349
305,Julia Coleman,59,50-64,VIP,5875,2,3,3,2013-02-23,151,17,2937,345
306,Julia Garcia,54,50-64,New,122,2,5,5,2013-04-22,149,1,61,122
307,Sean Evans,60,50-64,New,77,2,4,4,2013-08-04,145,5,38,15
308,Micah Zhou,60,50-64,New,42,2,3,3,2013-09-07,144,3,21,14
309,Hunter Rodriguez,60,50-64,VIP,5964,2,5,5,2013-02-08,151,17,2982,350
310,Ian Gonzales,66,65 and Above,New,94,2,4,4,2014-01-15,140,4,47,23
311,Victoria Lewis,66,65 and Above,New,42,2,3,3,2014-01-05,140,6,21,7
312,Erin Sanders,61,50-64,New,77,2,4,4,2013-12-24,141,4,38,19
313,Gabrielle Lopez,66,65 and Above,New,77,2,4,4,2013-09-13,144,5,38,15
314,Sara Richardson,67,65 and Above,New,42,2,3,3,2013-06-02,147,1,21,42
315,Trevor Jenkins,67,65 and Above,New,44,2,4,3,2013-11-26,142,6,22,7
